customer_id,age,gender,tenure,balance,num_products,has_credit_card,is_active_member,estimated_salary,exited
CUST0071,37,Male,2,169733.96,3,1,0,73463.17,0
CUST0072,45,Male,3,27324.27,1,0,1,121088.3,1
CUST0073,63,Male,6,141782.2,2,1,1,82448.11,1
CUST0074,53,Male,3,110564.0,1,0,1,148087.19,0
CUST0075,29,Male,8,59302.03,1,0,0,68976.07,1
CUST0076,55,Male,0,83956.17,2,0,0,117445.18,0
CUST0077,33,Male,7,51241.39,4,1,1,71088.63,1
CUST0078,50,Female,6,122302.74,1,1,0,127791.35,0
CUST0079,67,Male,1,16318.84,3,0,1,93980.59,0
CUST0080,34,Female,7,1036.97,1,0,0,28256.54,1
CUST0081,27,Male,0,125578.88,2,0,1,24786.84,0
CUST0082,33,Male,8,38854.79,2,0,1,37400.78,0
CUST0083,42,Male,8,14188.18,2,1,0,21777.36,0
CUST0084,59,Female,1,79356.77,4,1,1,29796.68,0
CUST0085,40,Female,6,10153.71,1,0,0,109922.87,0
CUST0086,35,Female,9,177323.43,4,0,1,89465.02,0
CUST0087,64,Female,2,5523.35,4,1,1,117488.4,1
CUST0088,37,Male,6,115772.98,2,1,0,138711.55,0
CUST0089,66,Female,9,87694.82,2,0,0,96069.44,0
CUST0090,43,Male,8,134405.23,4,0,0,114395.71,1
CUST0091,45,Male,3,65630.53,1,0,1,118420.56,1
CUST0092,44,Female,0,31008.32,3,1,0,69120.57,1
CUST0093,64,Female,1,196368.18,4,1,1,51341.03,1
CUST0094,60,Female,0,167786.7,1,1,1,46655.89,1
CUST0095,48,Female,4,172080.92,2,0,0,52687.52,1
CUST0096,34,Female,4,50050.27,2,0,0,55715.13,1
CUST0097,64,Female,6,7766.95,1,1,1,46939.59,0
CUST0098,20,Female,8,60653.1,3,1,1,134168.69,0
CUST0099,44,Female,8,107416.49,2,0,0,118409.89,1
CUST0100,26,Male,2,65330.25,2,1,0,26096.54,0
